sexe,age,csp,departement,weight
Homme,18-24,Cadre,75,0.0008467199999999998
Homme,18-24,Cadre,13,0.0006350399999999998
Homme,18-24,Cadre,33,0.0004233599999999999
Homme,18-24,Cadre,59,0.0005291999999999999
Homme,18-24,Cadre,69,0.0005291999999999999
Homme,18-24,Cadre,autres,0.007620479999999998
Homme,18-24,Employe,75,0.0015052799999999995
Homme,18-24,Employe,13,0.0011289599999999996
Homme,18-24,Employe,33,0.0007526399999999997
Homme,18-24,Employe,59,0.0009407999999999998
Homme,18-24,Employe,69,0.0009407999999999998
Homme,18-24,Employe,autres,0.013547519999999995
Homme,18-24,Ouvrier,75,0.0009407999999999998
Homme,18-24,Ouvrier,13,0.0007055999999999998
Homme,18-24,Ouvrier,33,0.0004703999999999999
Homme,18-24,Ouvrier,59,0.0005879999999999999
Homme,18-24,Ouvrier,69,0.0005879999999999999
Homme,18-24,Ouvrier,autres,0.008467199999999998
Homme,18-24,Retraite,75,0.0014111999999999998
Homme,18-24,Retraite,13,0.0010583999999999997
Homme,18-24,Retraite,33,0.0007055999999999999
Homme,18-24,Retraite,59,0.0008819999999999998
Homme,18-24,Retraite,69,0.0008819999999999998
Homme,18-24,Retraite,autres,0.012700799999999996
Homme,25-34,Cadre,75,0.0011289599999999998
Homme,25-34,Cadre,13,0.0008467199999999997
Homme,25-34,Cadre,33,0.0005644799999999999
Homme,25-34,Cadre,59,0.0007055999999999999
Homme,25-34,Cadre,69,0.0007055999999999999
Homme,25-34,Cadre,autres,0.010160639999999997
Homme,25-34,Employe,75,0.0020070399999999994
Homme,25-34,Employe,13,0.0015052799999999995
Homme,25-34,Employe,33,0.0010035199999999997
Homme,25-34,Employe,59,0.0012544
Homme,25-34,Employe,69,0.0012544
Homme,25-34,Employe,autres,0.018063359999999994
Homme,25-34,Ouvrier,75,0.0012543999999999997
Homme,25-34,Ouvrier,13,0.0009407999999999997
Homme,25-34,Ouvrier,33,0.0006271999999999998
Homme,25-34,Ouvrier,59,0.0007839999999999998
Homme,25-34,Ouvrier,69,0.0007839999999999998
Homme,25-34,Ouvrier,autres,0.011289599999999997
Homme,25-34,Retraite,75,0.0018815999999999995
Homme,25-34,Retraite,13,0.0014111999999999996
Homme,25-34,Retraite,33,0.0009407999999999998
Homme,25-34,Retraite,59,0.0011759999999999997
Homme,25-34,Retraite,69,0.0011759999999999997
Homme,25-34,Retraite,autres,0.016934399999999995
Homme,35-49,Cadre,75,0.0016228799999999997
Homme,35-49,Cadre,13,0.00121716
Homme,35-49,Cadre,33,0.0008114399999999999
Homme,35-49,Cadre,59,0.0010142999999999999
Homme,35-49,Cadre,69,0.0010142999999999999
Homme,35-49,Cadre,autres,0.014605919999999998
Homme,35-49,Employe,75,0.00288512
Homme,35-49,Employe,13,0.0021638399999999998
Homme,35-49,Employe,33,0.00144256
Homme,35-49,Employe,59,0.0018032
Homme,35-49,Employe,69,0.0018032
Homme,35-49,Employe,autres,0.025966079999999996
Homme,35-49,Ouvrier,75,0.0018032
Homme,35-49,Ouvrier,13,0.0013524
Homme,35-49,Ouvrier,33,0.0009016
Homme,35-49,Ouvrier,59,0.001127
Homme,35-49,Ouvrier,69,0.001127
Homme,35-49,Ouvrier,autres,0.016228799999999998
Homme,35-49,Retraite,75,0.0027047999999999994
Homme,35-49,Retraite,13,0.0020285999999999993
Homme,35-49,Retraite,33,0.0013523999999999997
Homme,35-49,Retraite,59,0.0016904999999999997
Homme,35-49,Retraite,69,0.0016904999999999997
Homme,35-49,Retraite,autres,0.024343199999999992
Homme,50-64,Cadre,75,0.0017639999999999995
Homme,50-64,Cadre,13,0.0013229999999999997
Homme,50-64,Cadre,33,0.0008819999999999998
Homme,50-64,Cadre,59,0.0011024999999999997
Homme,50-64,Cadre,69,0.0011024999999999997
Homme,50-64,Cadre,autres,0.015875999999999998
Homme,50-64,Employe,75,0.003135999999999999
Homme,50-64,Employe,13,0.0023519999999999995
Homme,50-64,Employe,33,0.0015679999999999995
Homme,50-64,Employe,59,0.0019599999999999995
Homme,50-64,Employe,69,0.0019599999999999995
Homme,50-64,Employe,autres,0.028223999999999992
Homme,50-64,Ouvrier,75,0.0019599999999999995
Homme,50-64,Ouvrier,13,0.0014699999999999995
Homme,50-64,Ouvrier,33,0.0009799999999999998
Homme,50-64,Ouvrier,59,0.001225
Homme,50-64,Ouvrier,69,0.001225
Homme,50-64,Ouvrier,autres,0.017639999999999996
Homme,50-64,Retraite,75,0.002939999999999999
Homme,50-64,Retraite,13,0.0022049999999999995
Homme,50-64,Retraite,33,0.0014699999999999995
Homme,50-64,Retraite,59,0.0018374999999999995
Homme,50-64,Retraite,69,0.0018374999999999995
Homme,50-64,Retraite,autres,0.02645999999999999
Homme,65+,Cadre,75,0.0016934399999999996
Homme,65+,Cadre,13,0.0012700799999999996
Homme,65+,Cadre,33,0.0008467199999999998
Homme,65+,Cadre,59,0.0010583999999999997
Homme,65+,Cadre,69,0.0010583999999999997
Homme,65+,Cadre,autres,0.015240959999999996
Homme,65+,Employe,75,0.003010559999999999
Homme,65+,Employe,13,0.002257919999999999
Homme,65+,Employe,33,0.0015052799999999995
Homme,65+,Employe,59,0.0018815999999999995
Homme,65+,Employe,69,0.0018815999999999995
Homme,65+,Employe,autres,0.02709503999999999
Homme,65+,Ouvrier,75,0.0018815999999999995
Homme,65+,Ouvrier,13,0.0014111999999999996
Homme,65+,Ouvrier,33,0.0009407999999999998
Homme,65+,Ouvrier,59,0.0011759999999999997
Homme,65+,Ouvrier,69,0.0011759999999999997
Homme,65+,Ouvrier,autres,0.016934399999999995
Homme,65+,Retraite,75,0.0028223999999999996
Homme,65+,Retraite,13,0.0021167999999999994
Homme,65+,Retraite,33,0.0014111999999999998
Homme,65+,Retraite,59,0.0017639999999999995
Homme,65+,Retraite,69,0.0017639999999999995
Homme,65+,Retraite,autres,0.025401599999999993
Femme,18-24,Cadre,75,0.0008812799999999998
Femme,18-24,Cadre,13,0.0006609599999999998
Femme,18-24,Cadre,33,0.0004406399999999999
Femme,18-24,Cadre,59,0.0005507999999999999
Femme,18-24,Cadre,69,0.0005507999999999999
Femme,18-24,Cadre,autres,0.007931519999999997
Femme,18-24,Employe,75,0.0015667199999999997
Femme,18-24,Employe,13,0.0011750399999999998
Femme,18-24,Employe,33,0.0007833599999999999
Femme,18-24,Employe,59,0.0009792
Femme,18-24,Employe,69,0.0009792
Femme,18-24,Employe,autres,0.014100479999999997
Femme,18-24,Ouvrier,75,0.0009792
Femme,18-24,Ouvrier,13,0.0007343999999999999
Femme,18-24,Ouvrier,33,0.0004896
Femme,18-24,Ouvrier,59,0.000612
Femme,18-24,Ouvrier,69,0.000612
Femme,18-24,Ouvrier,autres,0.008812799999999999
Femme,18-24,Retraite,75,0.0014687999999999995
Femme,18-24,Retraite,13,0.0011015999999999997
Femme,18-24,Retraite,33,0.0007343999999999997
Femme,18-24,Retraite,59,0.0009179999999999998
Femme,18-24,Retraite,69,0.0009179999999999998
Femme,18-24,Retraite,autres,0.013219199999999995
Femme,25-34,Cadre,75,0.0011750399999999998
Femme,25-34,Cadre,13,0.0008812799999999997
Femme,25-34,Cadre,33,0.0005875199999999999
Femme,25-34,Cadre,59,0.0007343999999999999
Femme,25-34,Cadre,69,0.0007343999999999999
Femme,25-34,Cadre,autres,0.010575359999999997
Femme,25-34,Employe,75,0.00208896
Femme,25-34,Employe,13,0.0015667199999999997
Femme,25-34,Employe,33,0.00104448
Femme,25-34,Employe,59,0.0013056
Femme,25-34,Employe,69,0.0013056
Femme,25-34,Employe,autres,0.018800639999999997
Femme,25-34,Ouvrier,75,0.0013055999999999999
Femme,25-34,Ouvrier,13,0.0009791999999999997
Femme,25-34,Ouvrier,33,0.0006527999999999999
Femme,25-34,Ouvrier,59,0.0008159999999999999
Femme,25-34,Ouvrier,69,0.0008159999999999999
Femme,25-34,Ouvrier,autres,0.011750399999999998
Femme,25-34,Retraite,75,0.0019584
Femme,25-34,Retraite,13,0.0014687999999999997
Femme,25-34,Retraite,33,0.0009792
Femme,25-34,Retraite,59,0.001224
Femme,25-34,Retraite,69,0.001224
Femme,25-34,Retraite,autres,0.017625599999999998
Femme,35-49,Cadre,75,0.0016891199999999997
Femme,35-49,Cadre,13,0.0012668399999999998
Femme,35-49,Cadre,33,0.0008445599999999998
Femme,35-49,Cadre,59,0.0010557
Femme,35-49,Cadre,69,0.0010557
Femme,35-49,Cadre,autres,0.015202079999999996
Femme,35-49,Employe,75,0.003002879999999999
Femme,35-49,Employe,13,0.0022521599999999996
Femme,35-49,Employe,33,0.0015014399999999995
Femme,35-49,Employe,59,0.0018767999999999996
Femme,35-49,Employe,69,0.0018767999999999996
Femme,35-49,Employe,autres,0.02702591999999999
Femme,35-49,Ouvrier,75,0.0018767999999999996
Femme,35-49,Ouvrier,13,0.0014075999999999997
Femme,35-49,Ouvrier,33,0.0009383999999999998
Femme,35-49,Ouvrier,59,0.001173
Femme,35-49,Ouvrier,69,0.001173
Femme,35-49,Ouvrier,autres,0.0168912
Femme,35-49,Retraite,75,0.0028151999999999995
Femme,35-49,Retraite,13,0.0021113999999999994
Femme,35-49,Retraite,33,0.0014075999999999997
Femme,35-49,Retraite,59,0.0017594999999999996
Femme,35-49,Retraite,69,0.0017594999999999996
Femme,35-49,Retraite,autres,0.025336799999999993
Femme,50-64,Cadre,75,0.0018359999999999995
Femme,50-64,Cadre,13,0.0013769999999999995
Femme,50-64,Cadre,33,0.0009179999999999998
Femme,50-64,Cadre,59,0.0011474999999999996
Femme,50-64,Cadre,69,0.0011474999999999996
Femme,50-64,Cadre,autres,0.016523999999999994
Femme,50-64,Employe,75,0.0032639999999999995
Femme,50-64,Employe,13,0.0024479999999999997
Femme,50-64,Employe,33,0.0016319999999999998
Femme,50-64,Employe,59,0.0020399999999999997
Femme,50-64,Employe,69,0.0020399999999999997
Femme,50-64,Employe,autres,0.029375999999999992
Femme,50-64,Ouvrier,75,0.0020399999999999997
Femme,50-64,Ouvrier,13,0.0015299999999999997
Femme,50-64,Ouvrier,33,0.0010199999999999999
Femme,50-64,Ouvrier,59,0.0012749999999999999
Femme,50-64,Ouvrier,69,0.0012749999999999999
Femme,50-64,Ouvrier,autres,0.018359999999999998
Femme,50-64,Retraite,75,0.0030599999999999994
Femme,50-64,Retraite,13,0.0022949999999999993
Femme,50-64,Retraite,33,0.0015299999999999997
Femme,50-64,Retraite,59,0.0019124999999999997
Femme,50-64,Retraite,69,0.0019124999999999997
Femme,50-64,Retraite,autres,0.02753999999999999
Femme,65+,Cadre,75,0.0017625599999999996
Femme,65+,Cadre,13,0.0013219199999999996
Femme,65+,Cadre,33,0.0008812799999999998
Femme,65+,Cadre,59,0.0011015999999999999
Femme,65+,Cadre,69,0.0011015999999999999
Femme,65+,Cadre,autres,0.015863039999999995
Femme,65+,Employe,75,0.0031334399999999995
Femme,65+,Employe,13,0.0023500799999999996
Femme,65+,Employe,33,0.0015667199999999997
Femme,65+,Employe,59,0.0019584
Femme,65+,Employe,69,0.0019584
Femme,65+,Employe,autres,0.028200959999999994
Femme,65+,Ouvrier,75,0.0019584
Femme,65+,Ouvrier,13,0.0014687999999999997
Femme,65+,Ouvrier,33,0.0009792
Femme,65+,Ouvrier,59,0.001224
Femme,65+,Ouvrier,69,0.001224
Femme,65+,Ouvrier,autres,0.017625599999999998
Femme,65+,Retraite,75,0.002937599999999999
Femme,65+,Retraite,13,0.0022031999999999993
Femme,65+,Retraite,33,0.0014687999999999995
Femme,65+,Retraite,59,0.0018359999999999995
Femme,65+,Retraite,69,0.0018359999999999995
Femme,65+,Retraite,autres,0.02643839999999999
